"term","estimate","std.error","statistic","p.value","significance","step","outcome","R2","R2_p_value","R2_annotated","N","R2_change","F_change","p_value","dataset","significance_d_cleaned","significance_d_with_outliers","significance_difference"
"(Intercept)","0.01",0.0504718370459536,0.114600888180482,0.908822163087442,"","Step 2","Emotional_support",0.06,0.000200757275138987,"0.06***",385,NA,NA,NA,"d_with_outliers","","","No"
"Helicopter_parenting","-0.06",0.0510878544851891,-1.17610304817101,0.240291910003382,"","Step 2","Emotional_support",0.06,0.000200757275138987,"0.06***",385,NA,NA,NA,"d_with_outliers","","","No"
"Reciprocal_filial_piety","0.23***",0.0539889206746654,4.18034715968324,3.61799761099871e-05,"***","Step 2","Emotional_support",0.06,0.000200757275138987,"0.06***",385,NA,NA,NA,"d_with_outliers","***","***","No"
"Authoritarian_filial_piety","-0.08",0.0536477232349797,-1.54966524655844,0.122056484140511,"","Step 2","Emotional_support",0.06,0.000200757275138987,"0.06***",385,NA,NA,NA,"d_with_outliers","","","No"
"Helicopter_parenting:Reciprocal_filial_piety","0.07",0.0515231751202563,1.26457223134478,0.206801781464079,"","Step 2","Emotional_support",0.06,0.000200757275138987,"0.06***",385,NA,NA,NA,"d_with_outliers","","","No"
"Helicopter_parenting:Authoritarian_filial_piety","0.01",0.0595296523059108,0.0983278455278916,0.921723949662304,"","Step 2","Emotional_support",0.06,0.000200757275138987,"0.06***",385,NA,NA,NA,"d_with_outliers","","","No"
NA,NA,NA,NA,NA,"","Step 2 vs Step 1","Emotional_support",NA,NA,NA,NA,"0.005",1.038,0.355,"d_with_outliers","","","No"
"(Intercept)","0",0.0507884955249335,-8.41699016654112e-16,0.999999999999999,"","Step 1","Self_disclosure",0.01,0.130783679742144,"0.01",385,NA,NA,NA,"d_with_outliers","","","No"
"Helicopter_parenting","0",0.0515592513053191,0.0684072479199384,0.945497338354353,"","Step 1","Self_disclosure",0.01,0.130783679742144,"0.01",385,NA,NA,NA,"d_with_outliers","","","No"
"Reciprocal_filial_piety","0.13*",0.0545735613375325,2.34544210095246,0.0195167778915322,"*","Step 1","Self_disclosure",0.01,0.130783679742144,"0.01",385,NA,NA,NA,"d_with_outliers","","*","Yes"
"Authoritarian_filial_piety","-0.03",0.0545466150172406,-0.502676089556448,0.615482450742739,"","Step 1","Self_disclosure",0.01,0.130783679742144,"0.01",385,NA,NA,NA,"d_with_outliers","","","No"
"(Intercept)","0",0.0517146925783649,0.0248433267942133,0.98019300689887,"","Step 2","Self_disclosure",0.01,0.340180926696201,"0.01",385,NA,NA,NA,"d_with_outliers","","","No"
"Helicopter_parenting","0",0.0523458792828229,0.0927092465852443,0.926183536690967,"","Step 2","Self_disclosure",0.01,0.340180926696201,"0.01",385,NA,NA,NA,"d_with_outliers","","","No"
"Reciprocal_filial_piety","0.13*",0.0553183834538451,2.29368027288012,0.0223554164687655,"*","Step 2","Self_disclosure",0.01,0.340180926696201,"0.01",385,NA,NA,NA,"d_with_outliers","","*","Yes"
"Authoritarian_filial_piety","-0.03",0.054968784118164,-0.482047286597588,0.630050607080815,"","Step 2","Self_disclosure",0.01,0.340180926696201,"0.01",385,NA,NA,NA,"d_with_outliers","","","No"
"Helicopter_parenting:Reciprocal_filial_piety","0.01",0.0527919195724803,0.205726718329993,0.837114844320308,"","Step 2","Self_disclosure",0.01,0.340180926696201,"0.01",385,NA,NA,NA,"d_with_outliers","","","No"
"Helicopter_parenting:Authoritarian_filial_piety","0",0.0609955541244548,-0.041214791530454,0.967146364683088,"","Step 2","Self_disclosure",0.01,0.340180926696201,"0.01",385,NA,NA,NA,"d_with_outliers","","","No"
NA,NA,NA,NA,NA,"","Step 2 vs Step 1","Self_disclosure",NA,NA,NA,NA,"0",0.022,0.978,"d_with_outliers","","","No"
"(Intercept)","0",0.0502829723642454,-5.05486721003654e-16,1,"","Step 1","Conflict_management",0.03,0.00409240461859235,"0.03**",385,NA,NA,NA,"d_with_outliers","","","No"
"Helicopter_parenting","-0.06",0.0510460564289365,-1.23143859733802,0.218918420328054,"","Step 1","Conflict_management",0.03,0.00409240461859235,"0.03**",385,NA,NA,NA,"d_with_outliers","","","No"
"Reciprocal_filial_piety","0.15**",0.0540303635339312,2.70954403454569,0.00704182766407784,"**","Step 1","Conflict_management",0.03,0.00409240461859235,"0.03**",385,NA,NA,NA,"d_with_outliers","*","**","Yes"
"Authoritarian_filial_piety","-0.14*",0.0540036854237696,-2.56176763156294,0.0107980565311236,"*","Step 1","Conflict_management",0.03,0.00409240461859235,"0.03**",385,NA,NA,NA,"d_with_outliers","*","*","No"
"(Intercept)","0",0.0511851699803634,-0.0277595071656677,0.977868572974668,"","Step 2","Conflict_management",0.03,0.0191392686478169,"0.03*",385,NA,NA,NA,"d_with_outliers","","","No"
"Helicopter_parenting","-0.07",0.0518098937705719,-1.29092886085061,0.197515222804897,"","Step 2","Conflict_management",0.03,0.0191392686478169,"0.03*",385,NA,NA,NA,"d_with_outliers","","","No"
"Reciprocal_filial_piety","0.15**",0.0547519615597318,2.69485211416095,0.00735541790658545,"**","Step 2","Conflict_management",0.03,0.0191392686478169,"0.03*",385,NA,NA,NA,"d_with_outliers","*","**","Yes"
"Authoritarian_filial_piety","-0.14*",0.0544059418788695,-2.56673290725605,0.010649338463926,"*","Step 2","Conflict_management",0.03,0.0191392686478169,"0.03*",385,NA,NA,NA,"d_with_outliers","*","*","No"
"Helicopter_parenting:Reciprocal_filial_piety","-0.02",0.0522513669169047,-0.406418969275061,0.6846641740858,"","Step 2","Conflict_management",0.03,0.0191392686478169,"0.03*",385,NA,NA,NA,"d_with_outliers","","","No"
"Helicopter_parenting:Authoritarian_filial_piety","-0.01",0.0603710019386793,-0.115320220627868,0.908252384787655,"","Step 2","Conflict_management",0.03,0.0191392686478169,"0.03*",385,NA,NA,NA,"d_with_outliers","","","No"
NA,NA,NA,NA,NA,"","Step 2 vs Step 1","Conflict_management",NA,NA,NA,NA,"0.001",0.132,0.877,"d_with_outliers","","","No"
